timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1733771642.3899684,152,54,5,73
1733771642.390113,152,63,5,72
1733771642.3902454,153,60,5,73
1733771642.3904154,154,62,5,72
1733771642.3905559,148,64,5,74
1733771642.390686,149,59,5,70
1733771642.390817,146,61,5,70
1733771642.3909469,149,62,4,72
1733771642.3910756,147,59,5,71
1733771642.3911936,141,59,5,70
1733771642.3913217,141,66,5,70
1733771642.3914375,142,68,5,72
1733771642.3915546,145,70,4,72
1733771642.3916721,145,68,5,72
1733771642.3917892,140,70,5,73
1733771642.3919053,142,67,5,72
1733771642.3920114,144,61,5,74
1733771642.3921182,147,57,5,72
1733771642.392225,149,61,5,74
1733771642.3923404,145,61,5,75
1733771642.392447,148,56,4,71
1733771642.3925524,150,56,5,70
1733771642.392658,153,61,5,68
1733771642.392764,152,58,5,68
1733771642.3928695,149,56,5,68
1733771642.3929749,150,54,5,65
1733771642.3930802,149,50,5,64
1733771642.3931847,150,60,5,66
1733771642.393294,150,68,5,64
1733771642.3933904,144,66,5,62
1733771642.3934872,142,60,4,61
1733771642.3935857,142,55,4,59
1733771642.3936825,142,52,5,59
1733771642.3937805,140,49,5,57
1733771642.3938777,136,46,5,56
1733771642.3939826,137,58,5,55
1733771642.394081,139,68,5,54
1733771642.3941698,143,69,4,54
1733771642.3942606,144,62,4,53
1733771642.394361,141,57,5,53
1733771642.3944507,143,52,5,51
1733771642.3945408,146,58,5,53
1733771642.3946302,148,68,5,52
1733771642.3947186,151,65,5,53
1733771642.3948078,147,60,5,52
1733771642.394896,147,55,5,51
1733771642.3949862,148,49,5,52
1733771642.3950765,149,45,5,51
1733771642.3951676,146,43,5,51
1733771642.3952563,143,56,5,51
1733771642.3953555,141,61,4,52
1733771642.3954444,141,65,5,51
1733771642.3955348,142,64,5,52
1733771642.3956246,142,58,5,51
1733771642.395714,138,53,5,51
1733771642.395804,136,57,5,50
1733771642.3958933,138,58,5,52
1733771642.3959823,142,55,5,52
1733771642.3960721,141,58,5,52
1733771642.3961604,138,59,5,52
1733771642.396244,140,53,5,51
1733771642.3963346,144,66,5,51
1733771642.3964174,146,64,5,55
1733771642.3965008,146,58,5,53
1733771642.396583,145,54,5,55
1733771642.3966677,145,56,5,55
1733771642.3967512,147,55,4,56
1733771642.396833,148,50,5,57
1733771642.3969157,146,62,5,55
1733771642.3969982,143,58,5,55
1733771642.3970804,142,53,5,54
1733771642.3971632,143,48,5,54
1733771642.3972495,143,53,4,54
1733771642.3973362,138,53,5,52
1733771642.3974147,137,51,5,53
1733771642.3974915,135,47,4,53
1733771642.3975692,137,50,5,57
1733771642.3976948,139,50,5,56
1733771642.3977726,136,47,5,55
1733771642.39785,136,55,5,55
1733771642.3979273,136,51,5,54
1733771642.3980052,140,47,4,54
1733771642.3980827,142,53,5,53
1733771642.3981595,139,55,5,52
1733771642.3982399,140,52,5,52
1733771642.3983202,141,61,5,52
1733771642.3983934,144,59,4,52
1733771642.3984663,145,61,4,51
1733771642.3985388,142,62,5,51
1733771642.3986344,140,60,5,51
1733771642.3987217,140,54,5,51
1733771642.3987958,143,68,4,50
1733771642.3988693,142,66,5,50
1733771642.398942,139,60,5,50
1733771642.399015,138,60,5,51
1733771642.3990877,136,55,5,51
1733771642.3991606,138,51,5,51
1733771642.3992338,139,50,5,53
1733771642.3993118,138,68,5,54
1733771642.3993845,137,65,4,54
1733771642.399458,137,64,5,54
1733771642.4079735,140,62,4,53
1733771642.4180036,141,61,5,53
1733771642.4279048,140,56,5,51
1733771642.4378457,139,54,5,51
1733771642.4478602,141,54,5,51
1733771642.4578154,146,51,5,52
1733771642.467995,145,48,5,51
1733771642.4779515,143,46,4,50
1733771642.4879563,143,53,5,50
1733771642.4979784,144,60,4,51
1733771642.5080128,146,57,5,51
1733771642.5181446,144,57,5,52
1733771642.5283003,139,61,5,51
1733771642.538324,138,73,5,52
1733771642.5488777,136,66,5,52
1733771642.5585809,137,59,5,52
1733771642.5686722,136,54,5,51
1733771642.578507,131,51,5,52
1733771642.5885036,131,54,4,52
1733771642.5986383,133,56,5,52
1733771642.6087062,136,57,5,51
1733771642.6185396,136,55,5,51
1733771642.628468,134,53,5,52
1733771642.6387305,133,56,5,51
1733771642.6487024,136,77,5,52
1733771642.6588836,141,76,5,52
1733771642.6688628,140,68,5,51
1733771642.6786094,140,63,5,51
1733771642.6886926,142,61,5,50
1733771642.6986752,143,56,5,51
1733771642.7087777,145,51,4,52
1733771642.7187917,143,72,5,53
1733771642.7288384,141,71,5,53
1733771642.738817,141,65,5,53
1733771642.7486696,143,63,4,54
1733771642.7588987,144,58,5,54
1733771642.7689269,141,66,5,53
1733771642.7786748,137,64,5,53
1733771642.788703,136,59,5,53
1733771642.7987611,135,57,5,52
1733771642.8088741,135,67,5,54
