timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1734671847.6567066,17,37,52,3
1734671847.656881,16,36,49,3
1734671847.657013,15,36,50,3
1734671847.6571314,15,35,50,3
1734671847.6572423,15,36,53,3
1734671847.6573546,16,34,53,3
1734671847.6574645,15,37,56,3
1734671847.6575744,15,39,53,3
1734671847.6576836,16,36,50,3
1734671847.6578097,16,34,50,3
1734671847.6579206,16,32,51,3
1734671847.6580298,16,30,49,3
1734671847.6581337,18,28,50,3
1734671847.6582336,20,27,50,3
1734671847.6583354,22,28,54,7
1734671847.658436,25,33,56,7
1734671847.658537,27,37,54,8
1734671847.6586466,35,35,54,16
1734671847.6587553,34,43,54,14
1734671847.6588714,32,41,53,12
1734671847.6589787,35,39,51,13
1734671847.6590898,33,36,51,12
1734671847.6591938,39,35,49,13
1734671847.659293,54,33,48,15
1734671847.6593924,50,37,51,17
1734671847.6594915,57,43,53,22
1734671847.6595917,55,64,54,20
1734671847.659688,59,96,60,20
1734671847.6598027,53,102,62,18
1734671847.6599097,49,114,62,17
1734671847.6600165,74,122,76,25
1734671847.6601303,77,119,108,29
1734671847.660233,84,120,109,35
1734671847.6603358,79,123,170,35
1734671847.6604397,89,147,201,39
1734671847.660542,85,176,191,37
1734671847.660645,78,226,207,33
1734671847.660748,93,214,198,36
1734671847.6608589,91,202,208,34
1734671847.660963,88,207,214,31
1734671847.661066,86,212,235,28
1734671847.6611707,91,199,227,35
1734671847.6612656,83,204,215,31
1734671847.6613626,89,196,225,39
1734671847.6614573,84,204,231,35
1734671847.6615536,86,213,224,37
1734671847.661649,90,239,230,36
1734671847.6617446,86,236,232,34
1734671847.661846,85,246,247,32
1734671847.6619492,103,258,285,38
1734671847.6620517,102,265,284,42
1734671847.6621547,118,261,288,47
1734671847.6622028,119,243,362,46
1734671847.662232,110,234,358,44
1734671847.6622603,104,249,326,42
1734671847.662288,103,282,307,37
1734671847.6623158,107,265,287,39
1734671847.6623435,103,246,291,38
1734671847.6623712,101,219,275,37
1734671847.6623986,103,209,272,36
1734671847.6624267,108,194,257,37
1734671847.6624546,114,193,256,35
1734671847.662482,108,200,252,33
1734671847.6625133,100,200,254,31
1734671847.6625402,91,225,247,31
1734671847.66257,83,229,247,27
1734671847.6625977,85,224,250,32
1734671847.662626,77,248,254,31
1734671847.6626549,95,237,236,33
1734671847.6626809,92,235,220,39
1734671847.6627069,94,228,219,39
1734671847.6627328,87,219,225,35
1734671847.6627584,81,225,219,32
1734671847.662786,101,292,246,57
1734671847.662816,103,289,245,57
1734671847.6628418,92,272,247,49
1734671847.6628678,84,260,250,43
1734671847.6628938,80,252,232,47
1734671847.6629202,79,223,220,48
1734671847.6629462,77,211,217,44
1734671847.6629725,76,217,218,43
1734671847.662998,69,200,223,37
1734671847.6630237,71,190,220,33
1734671847.6630497,78,207,212,29
1734671847.663076,72,205,209,27
1734671847.6631014,69,197,204,24
1734671847.6631272,70,189,206,23
1734671847.663153,85,173,202,28
1734671847.6631787,83,207,219,27
1734671847.6632044,83,193,201,26
1734671847.6632304,77,173,191,27
1734671847.6632557,75,167,183,27
1734671847.663282,75,175,195,24
1734671847.663309,71,175,187,22
1734671847.663335,66,175,182,21
1734671847.6633608,85,164,182,23
1734671847.6633863,96,182,172,38
1734671847.6634126,96,196,174,36
1734671847.6634383,87,178,176,33
1734671847.6634662,114,171,192,48
1734671847.6634939,108,156,182,47
1734671847.6672487,97,142,193,41
1734671847.67709,87,125,190,35
1734671847.6871886,103,127,199,46
1734671847.6972003,101,125,200,49
1734671847.707037,98,151,229,44
1734671847.717064,99,147,214,40
1734671847.727061,90,144,211,35
1734671847.7371466,83,163,193,30
1734671847.7471943,78,144,176,30
1734671847.7571664,75,127,174,29
1734671847.7671726,85,136,192,39
1734671847.777157,83,133,195,38
1734671847.7871501,85,138,186,34
1734671847.7975419,98,126,192,32
1734671847.8075175,96,134,213,29
1734671847.8176003,87,132,208,26
1734671847.8273768,87,134,199,26
1734671847.8374848,98,143,199,35
1734671847.8474693,96,145,200,34
1734671847.8571727,91,131,187,30
1734671847.8671772,85,123,179,28
1734671847.8774958,79,113,166,26
1734671847.8872068,86,102,165,28
1734671847.8971243,92,112,169,30
1734671847.9071424,84,154,170,29
1734671847.917054,82,154,180,26
1734671847.9271574,76,139,190,25
1734671847.9372303,82,148,190,26
1734671847.9470356,82,179,208,25
1734671847.9570105,83,168,218,22
1734671847.9670973,78,164,211,20
1734671847.977162,77,152,211,19
1734671847.9875357,76,158,202,18
1734671847.9975767,69,153,198,17
1734671848.00769,72,159,208,23
1734671848.0174232,75,161,219,21
1734671848.0274596,76,165,214,20
1734671848.0375488,85,165,208,27
1734671848.0475597,90,224,202,39
1734671848.057599,85,216,189,35
1734671848.0674193,82,192,182,32
1734671848.0774312,80,188,193,32
1734671848.0874217,77,177,180,30
1734671848.0974908,71,158,173,28
1734671848.107407,72,192,173,27
1734671848.1174994,78,202,183,27
1734671848.1275177,74,214,185,25
1734671848.1373847,79,206,187,29
1734671848.1475768,88,235,191,27
1734671848.1574705,86,214,195,28
