timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1734671580.7172966,31,30,66,3
1734671580.7173977,31,28,62,3
1734671580.717493,31,27,58,3
1734671580.7175927,31,26,57,3
1734671580.7176847,31,25,57,3
1734671580.7177784,30,24,55,3
1734671580.7178943,31,24,54,2
1734671580.7179897,29,31,59,3
1734671580.7180865,30,31,61,3
1734671580.7181807,29,37,64,3
1734671580.7182753,28,47,71,3
1734671580.718366,28,44,69,3
1734671580.7184532,28,43,72,3
1734671580.7185395,33,41,72,5
1734671580.718628,31,54,79,5
1734671580.7187128,30,62,81,5
1734671580.7188046,30,83,86,5
1734671580.7188993,31,96,105,7
1734671580.7189934,30,88,118,7
1734671580.7190938,34,109,155,8
1734671580.7191942,33,121,200,7
1734671580.7192965,33,142,210,7
1734671580.7193894,33,157,223,7
1734671580.7194822,43,145,213,9
1734671580.7195814,43,250,225,13
1734671580.7196817,44,290,237,13
1734671580.719781,42,320,226,15
1734671580.7198873,40,323,248,16
1734671580.7199874,44,298,248,15
1734671580.7200866,42,264,231,15
1734671580.7201889,41,254,242,14
1734671580.7202883,41,284,285,16
1734671580.7203913,40,313,328,14
1734671580.7204857,40,296,325,14
1734671580.720578,38,306,344,15
1734671580.7206707,39,370,365,13
1734671580.7207634,39,399,408,12
1734671580.7208614,41,386,384,11
1734671580.7209551,40,341,363,11
1734671580.7210417,40,352,400,9
1734671580.7211344,40,370,406,11
1734671580.7212236,43,367,391,11
1734671580.721311,42,359,396,13
1734671580.7213984,41,334,376,12
1734671580.721487,41,301,388,11
1734671580.7215736,38,311,368,10
1734671580.721655,38,310,351,9
1734671580.7217371,38,370,398,8
1734671580.7218256,38,331,358,7
1734671580.7219076,36,306,359,7
1734671580.7219975,36,286,353,11
1734671580.7220838,36,306,423,13
1734671580.7221704,37,335,408,12
1734671580.7222576,36,306,376,12
1734671580.7223446,33,311,368,11
1734671580.722431,43,309,401,10
1734671580.722513,48,343,392,9
1734671580.7225943,49,324,369,8
1734671580.7226765,53,287,347,8
1734671580.7227578,59,268,331,8
1734671580.7228527,58,250,333,10
1734671580.7229385,52,237,318,11
1734671580.7230246,52,260,326,10
1734671580.7231052,55,264,330,9
1734671580.723186,54,246,318,9
1734671580.7232687,51,233,303,9
1734671580.7233508,52,229,324,8
1734671580.7234313,50,240,339,7
1734671580.7235124,48,244,312,7
1734671580.7235985,47,242,333,10
1734671580.7236843,50,265,338,11
1734671580.7237706,51,283,349,13
1734671580.7238624,48,256,344,13
1734671580.7239497,48,229,320,11
1734671580.7240355,50,214,308,13
1734671580.7241223,51,209,332,12
1734671580.7242086,50,220,305,11
1734671580.7242997,51,212,301,10
1734671580.7243872,51,209,292,10
1734671580.7244747,51,267,306,10
1734671580.724562,49,236,284,12
1734671580.724639,51,230,262,11
1734671580.724667,48,220,314,11
1734671580.724696,49,195,289,11
1734671580.7247248,48,201,298,10
1734671580.7247522,51,205,305,9
1734671580.7247794,49,206,315,9
1734671580.72481,49,207,305,11
1734671580.7248385,52,205,304,10
1734671580.724865,51,208,285,9
1734671580.724892,47,182,264,8
1734671580.7249205,49,162,252,9
1734671580.7249494,49,146,247,11
1734671580.7249818,50,168,250,13
1734671580.7250106,51,193,250,12
1734671580.7250385,51,233,260,11
1734671580.7250648,47,206,251,9
1734671580.7250931,53,267,263,9
1734671580.7251196,50,304,263,7
1734671580.7251456,49,285,253,7
1734671580.725172,49,251,240,9
1734671580.7323313,48,223,222,10
1734671580.7420166,48,217,243,14
1734671580.75213,47,227,281,13
1734671580.7621734,49,226,272,14
1734671580.7722008,49,271,288,12
1734671580.7823677,46,276,285,11
1734671580.7924633,47,246,271,10
1734671580.802356,46,218,277,9
1734671580.812719,45,194,283,9
1734671580.822748,45,179,280,12
1734671580.8327777,46,195,271,14
1734671580.842706,43,195,253,12
1734671580.8528247,43,193,287,11
1734671580.862435,44,221,280,10
1734671580.8726635,41,211,284,9
1734671580.8826475,45,187,271,9
1734671580.89261,45,171,258,8
1734671580.9026816,45,174,260,9
1734671580.912698,52,165,241,9
1734671580.922586,51,158,233,8
1734671580.932738,53,216,278,8
1734671580.9422693,52,238,312,7
1734671580.952109,51,248,324,6
1734671580.9621599,49,243,343,6
1734671580.972362,46,227,337,6
1734671580.9822707,45,201,298,7
1734671580.9924216,43,191,265,9
1734671581.00256,41,175,252,8
1734671581.0126047,41,167,257,7
1734671581.022485,42,185,257,7
1734671581.0325618,41,187,256,7
1734671581.0426757,39,201,273,6
1734671581.0527341,39,219,300,6
1734671581.0624444,37,210,287,6
1734671581.072725,35,192,262,7
1734671581.0827377,34,175,240,8
1734671581.0926583,33,173,230,8
1734671581.102547,33,208,243,9
1734671581.112624,34,233,307,8
1734671581.122712,35,227,304,8
1734671581.1324823,33,201,280,7
1734671581.1424916,31,218,294,7
1734671581.152636,33,236,306,8
1734671581.162504,31,232,289,8
1734671581.1725044,31,227,295,8
1734671581.1826694,37,222,273,7
1734671581.192856,39,219,263,8
1734671581.2027783,38,223,288,7
1734671581.2126257,38,255,317,9
1734671581.2228596,37,255,310,10
