timestamp,emg_value_sensor1,emg_value_sensor2
1731999261.4250169,122,16
1731999261.4251456,117,16
1731999261.4252434,130,16
1731999261.4253392,131,16
1731999261.4254234,126,16
1731999261.4255083,124,16
1731999261.4255917,122,16
1731999261.4256752,122,16
1731999261.4257584,119,16
1731999261.4258418,114,16
1731999261.4259255,110,16
1731999261.4260075,107,16
1731999261.4261007,102,16
1731999261.4262102,101,16
1731999261.4265702,106,16
1731999261.42667,110,16
1731999261.426763,108,16
1731999261.426857,115,16
1731999261.4269502,112,16
1731999261.427043,106,16
1731999261.4271579,103,16
1731999261.4272394,101,16
1731999261.4273117,96,16
1731999261.4273832,97,16
1731999261.4274542,96,16
1731999261.4275253,95,15
1731999261.4275975,94,16
1731999261.4276693,95,16
1731999261.42774,93,16
1731999261.4278114,90,16
1731999261.4278817,91,16
1731999261.4279501,87,16
1731999261.428016,85,16
1731999261.428081,84,16
1731999261.4281533,86,16
1731999261.4282188,85,16
1731999261.428284,84,16
1731999261.428348,83,16
1731999261.428412,88,16
1731999261.4284766,89,16
1731999261.42854,91,16
1731999261.428613,103,16
1731999261.4286854,101,16
1731999261.4287593,97,16
1731999261.428834,104,16
1731999261.4289064,103,16
1731999261.4289773,103,16
1731999261.4290347,98,16
1731999261.4290934,97,16
1731999261.4291599,92,16
1731999261.4292183,88,16
1731999261.4292767,84,16
1731999261.4293363,81,16
1731999261.4293954,79,16
1731999261.4294538,79,16
1731999261.4295118,86,16
1731999261.4295702,92,16
1731999261.4296288,92,15
1731999261.4296877,89,16
1731999261.4297457,90,16
1731999261.429804,89,16
1731999261.4298615,86,16
1731999261.4299202,84,16
1731999261.4299784,86,16
1731999261.430038,87,15
1731999261.4300976,83,16
1731999261.4301713,84,16
1731999261.4302244,82,16
1731999261.4302778,82,16
1731999261.4303315,79,16
1731999261.4303842,95,15
1731999261.4304445,105,16
1731999261.4305053,101,16
1731999261.430559,96,16
1731999261.4306126,92,16
1731999261.4306655,89,16
1731999261.4307187,85,16
1731999261.4307725,85,16
1731999261.430826,85,16
1731999261.430879,86,16
1731999261.4309325,87,16
1731999261.430988,90,16
1731999261.4310417,96,16
1731999261.4310954,98,16
1731999261.43117,114,16
1731999261.431231,127,16
1731999261.4312916,123,16
1731999261.431352,117,16
1731999261.4314132,110,16
1731999261.4314747,104,16
1731999261.4315362,111,16
1731999261.4315915,110,16
1731999261.4316483,111,16
1731999261.4317062,114,16
1731999261.4317613,114,16
1731999261.431817,110,16
1731999261.4318728,107,16
1731999261.4319293,103,16
1731999261.4319847,106,16
1731999261.4320412,108,16
1731999261.432097,106,16
1731999261.4321585,102,16
1731999261.432211,100,16
1731999261.432256,97,16
1731999261.432302,98,16
1731999261.4323487,99,16
1731999261.4323955,98,16
1731999261.4324424,95,16
1731999261.4324882,93,16
1731999261.4325347,91,16
1731999261.4325812,86,16
1731999261.432628,84,16
1731999261.432675,87,16
1731999261.4327204,92,16
1731999261.4327674,96,16
1731999261.4412029,95,16
1731999261.4510708,94,15
1731999261.4609432,93,16
1731999261.4710543,92,16
1731999261.481086,87,16
1731999261.491075,87,16
1731999261.501051,87,16
1731999261.531552,101,16
1731999261.531656,100,16
1731999261.5317404,97,16
1731999261.5414238,93,16
1731999261.5814064,100,16
1731999261.5815096,108,16
1731999261.5816035,102,16
1731999261.5816891,96,16
1731999261.591321,95,16
1731999261.6012783,93,16
1731999261.6112237,89,16
1731999261.6214075,87,16
1731999261.6314373,88,16
1731999261.641513,93,16
1731999261.6514158,95,16
1731999261.661459,90,16
1731999261.671487,96,16
1731999261.7014713,103,16
1731999261.7015285,101,16
1731999261.7015767,98,16
1731999261.7316318,100,16
1731999261.7317498,100,15
1731999261.7318475,94,16
1731999261.7415807,90,16
1731999261.7515304,92,16
1731999261.7615402,92,16
