timestamp,emg_value_sensor1,emg_value_sensor2
1732002471.8046527,57,118
1732002471.8047507,57,112
1732002471.8048468,56,101
1732002471.8049338,56,92
1732002471.8142684,57,94
1732002471.9246497,57,103
1732002471.9247758,56,106
1732002471.9248965,57,100
1732002471.9250152,56,110
1732002471.925155,56,105
1732002471.925266,56,113
1732002471.925376,55,105
1732002471.9254873,54,112
1732002471.9256008,56,103
1732002471.9257178,56,103
1732002471.925822,56,99
1732002471.984683,55,100
1732002471.9848409,56,102
1732002471.9849918,58,117
1732002471.9851685,63,110
1732002471.985316,64,103
1732002471.9854472,62,93
1732002471.9946423,60,88
1732002472.004733,61,79
1732002472.014654,60,88
1732002472.0246797,59,96
1732002472.034566,57,94
1732002472.0748487,57,111
1732002472.0749898,59,116
1732002472.0751634,58,107
1732002472.0752833,56,98
1732002472.0849,57,88
1732002472.094831,56,84
1732002472.1048045,55,77
1732002472.1147342,54,77
1732002472.124831,57,81
1732002472.1348839,57,92
1732002472.2843127,56,102
1732002472.2844698,56,108
1732002472.2846196,55,108
1732002472.2847686,59,102
1732002472.2849193,59,102
1732002472.2850828,59,115
1732002472.2852657,60,128
1732002472.285428,59,116
1732002472.28559,58,139
1732002472.2857516,60,143
1732002472.2858984,60,145
1732002472.286045,59,129
1732002472.286204,59,119
1732002472.2863505,66,128
1732002472.286498,66,115
1732002472.434859,65,104
1732002472.4349442,63,116
1732002472.4350274,64,114
1732002472.435103,62,112
1732002472.4352107,61,155
1732002472.435286,60,140
1732002472.4353638,59,129
1732002472.4354408,61,123
1732002472.4355168,63,112
1732002472.4355934,63,104
1732002472.4356694,62,101
1732002472.4357438,61,104
1732002472.4358132,61,108
1732002472.4358816,60,102
1732002472.4359505,60,108
1732002472.4552488,61,107
1732002472.4553409,63,96
1732002472.4651809,63,89
1732002472.4750483,62,85
1732002472.4851196,60,88
1732002472.4951317,58,78
1732002472.585448,59,113
1732002472.5855305,60,146
1732002472.5856063,60,137
1732002472.5856817,59,120
1732002472.5857637,59,119
1732002472.5858386,61,124
1732002472.5859137,61,117
1732002472.58599,61,105
1732002472.5860572,60,95
1732002472.5952654,61,86
1732002472.6052544,59,88
1732002472.7548473,58,146
1732002472.7549381,58,136
1732002472.7550225,57,135
1732002472.7551327,57,148
1732002472.755217,60,137
1732002472.7553098,63,127
1732002472.7553935,63,112
1732002472.7554767,61,103
1732002472.7555609,60,112
1732002472.755644,59,112
1732002472.755727,60,102
1732002472.7558095,60,115
1732002472.7558925,60,110
1732002472.755976,59,109
1732002472.756059,60,106
1732002472.7655256,59,95
1732002472.775426,58,90
1732002472.7854629,57,85
1732002472.8858635,57,101
