timestamp,emg_value_sensor1,emg_value_sensor2
1732002020.9455845,64,179
1732002020.9456325,64,184
1732002020.9456794,65,180
1732002020.9457312,67,161
1732002020.945777,68,143
1732002020.945823,66,147
1732002020.945868,65,177
1732002020.945914,65,176
1732002020.9459593,63,175
1732002020.9460056,62,219
1732002020.9460506,62,201
1732002020.946096,63,196
1732002020.9461565,63,182
1732002020.9462016,63,165
1732002020.946247,63,156
1732002020.9462926,62,145
1732002020.94634,64,162
1732002020.946388,62,166
1732002020.9464362,65,175
1732002020.9464836,64,161
1732002020.9465327,63,147
1732002020.9465806,65,132
1732002020.946629,64,118
1732002020.9466774,63,105
1732002020.946726,64,131
1732002020.9467745,68,143
1732002020.9468226,67,138
1732002020.9468706,66,123
1732002020.946919,64,134
1732002020.9469674,64,159
1732002020.947017,70,153
1732002020.947062,69,135
1732002020.9471154,66,159
1732002020.9471636,66,168
1732002020.9472091,69,173
1732002020.9472554,72,158
1732002020.947301,71,139
1732002020.9473457,70,139
1732002020.9473906,68,188
1732002020.9474359,67,174
1732002020.9474812,65,154
1732002020.9475267,64,147
1732002020.9475715,66,151
1732002020.947616,66,158
1732002020.9476607,64,142
1732002020.9477057,64,141
1732002020.9477506,65,136
1732002020.9477954,68,133
1732002020.9478397,67,132
1732002020.9478843,66,139
1732002020.94793,65,148
1732002020.9479744,68,151
1732002020.9480166,66,143
1732002020.9480598,64,150
1732002020.9481044,66,166
1732002020.9481528,65,166
1732002020.9481952,65,150
1732002020.948238,65,132
1732002020.9482806,64,134
1732002020.9483228,63,163
1732002020.9483654,65,163
1732002020.948408,65,146
1732002020.9484506,67,150
1732002020.9484928,67,198
1732002020.948535,66,179
1732002020.9485781,65,159
1732002020.9486206,63,141
1732002020.948663,63,126
1732002020.9487052,66,112
1732002020.9487476,67,120
1732002020.9487896,70,126
1732002020.9488318,71,128
1732002020.948874,71,120
1732002020.9489172,68,121
1732002020.94896,66,129
1732002020.9490023,64,162
1732002020.9490447,64,165
1732002020.949091,63,147
1732002020.94914,61,141
1732002020.9491823,63,136
1732002020.949225,66,125
1732002020.949267,69,157
1732002020.9493093,68,150
1732002020.9493525,67,139
1732002020.9493954,65,127
1732002020.9494379,66,127
1732002020.9494805,66,167
1732002020.9495227,66,177
1732002020.949565,66,170
1732002020.9496078,67,191
1732002020.9496498,67,174
1732002020.9496927,66,154
1732002020.949737,65,154
1732002020.9497805,65,147
1732002020.949823,64,151
1732002020.9498658,65,141
1732002020.9499083,65,170
1732002020.949951,64,177
1732002020.949994,64,164
1732002020.9500365,66,148
1732002020.9500785,70,142
1732002020.9501255,69,127
1732002020.9501684,71,120
1732002020.9502113,68,160
1732002021.0074575,68,173
1732002021.0075397,66,155
1732002021.0076096,64,136
1732002021.007678,65,138
1732002021.0077527,67,165
1732002021.007823,66,159
1732002021.007891,64,140
1732002021.0079577,63,136
1732002021.0080247,64,145
1732002021.0080914,62,147
1732002021.0081828,60,130
1732002021.008252,59,115
1732002021.0083184,65,142
1732002021.0083842,68,150
1732002021.0084507,69,147
1732002021.1577184,67,133
1732002021.1577861,65,123
1732002021.1578498,64,111
1732002021.1579103,63,112
1732002021.1579716,62,104
1732002021.1580334,61,100
1732002021.158095,63,102
1732002021.1581905,65,110
1732002021.1582522,66,122
1732002021.1583135,64,124
1732002021.1583796,63,132
1732002021.1584399,61,140
1732002021.1585007,60,144
1732002021.1585617,61,140
1732002021.1586223,59,128
1732002021.3078253,60,149
1732002021.3078787,62,144
1732002021.3079238,64,204
1732002021.3079677,64,206
1732002021.3080108,62,195
1732002021.3080537,61,195
1732002021.308097,60,188
1732002021.3081567,59,174
1732002021.3082037,58,163
1732002021.308247,62,149
1732002021.3082898,62,163
1732002021.3083324,64,173
1732002021.3083756,63,186
1732002021.3084185,62,174
1732002021.3084614,61,167
1732002021.4583375,61,153
1732002021.4584062,61,138
1732002021.458464,62,154
1732002021.458523,64,160
1732002021.458582,64,163
1732002021.4586356,64,166
1732002021.4586883,65,182
1732002021.4587405,64,186
1732002021.4587932,62,177
1732002021.4588478,61,167
1732002021.4589014,60,153
1732002021.4589555,60,142
1732002021.4590151,63,146
1732002021.459068,62,151
1732002021.4591556,60,135
1732002021.6085267,62,129
1732002021.6086254,62,142
1732002021.6087098,61,145
1732002021.6087983,59,139
1732002021.6088722,59,181
1732002021.6089463,58,228
1732002021.6090217,60,207
1732002021.6090949,64,192
1732002021.6092074,64,175
1732002021.6092846,63,211
1732002021.6093593,62,228
1732002021.6094334,63,204
1732002021.6095068,63,186
1732002021.6095803,62,166
1732002021.6096535,63,151
1732002021.7589023,62,138
1732002021.7589703,62,177
1732002021.7590299,61,267
1732002021.7590919,62,243
1732002021.7591946,63,213
1732002021.759257,64,200
1732002021.7593186,64,186
1732002021.7593794,66,167
1732002021.75944,64,151
1732002021.7595003,62,139
1732002021.7595603,61,138
1732002021.7596235,59,133
1732002021.759685,59,155
1732002021.7597463,57,156
1732002021.759809,60,147
1732002021.9089844,61,135
1732002021.9090612,61,122
1732002021.9091568,60,119
1732002021.9092193,59,131
1732002021.9092808,59,161
1732002021.9093425,61,171
1732002021.9094036,63,172
1732002021.9094706,64,195
1732002021.9095314,63,188
1732002021.9095924,63,196
1732002021.9096532,64,192
1732002021.9097137,63,195
1732002021.9097743,61,197
1732002021.9098372,60,259
1732002021.9098926,59,295
1732002022.042192,59,282
1732002022.0422657,58,249
1732002022.0423281,63,220
1732002022.0423887,63,197
1732002022.0424507,64,175
1732002022.0425193,65,158
1732002022.0425797,65,143
1732002022.042641,63,129
1732002022.042701,64,122
1732002022.0427613,65,111
1732002022.0428226,65,112
1732002022.0428839,63,112
1732002022.0429447,63,108
1732002022.0429986,65,98
1732002022.052095,68,87
1732002022.201599,72,100
1732002022.20168,70,129
1732002022.2017558,70,168
1732002022.2018385,68,212
1732002022.2019124,66,193
1732002022.2019863,66,173
1732002022.2020614,66,172
1732002022.202173,64,165
1732002022.2022457,62,169
1732002022.2023232,60,209
1732002022.202397,61,255
1732002022.2024698,59,240
1732002022.2025442,59,269
1732002022.202618,63,285
1732002022.2026916,63,267
1732002022.3516,64,243
1732002022.3516617,65,225
1732002022.351719,76,205
1732002022.3517766,76,188
1732002022.3518353,73,176
1732002022.351897,71,179
1732002022.3519602,69,166
1732002022.3520215,70,157
1732002022.352082,69,163
1732002022.352168,66,148
1732002022.3522296,65,135
1732002022.3522904,67,129
1732002022.3523514,68,133
1732002022.3524127,67,132
1732002022.3524735,67,130
1732002022.502051,69,141
1732002022.5021753,69,156
1732002022.5022528,67,204
1732002022.5023284,66,205
