timestamp,emg_value_sensor1,emg_value_sensor2
1732002124.6220446,78,134
1732002124.6221054,78,133
1732002124.622193,75,128
1732002124.62225,74,135
1732002124.6223056,75,153
1732002124.6223702,72,184
1732002124.6224275,70,180
1732002124.622484,69,180
1732002124.6225398,77,167
1732002124.6225965,77,150
1732002124.6226532,76,149
1732002124.622709,75,139
1732002124.622762,72,124
1732002124.6228137,71,110
1732002124.6228662,71,100
1732002124.6229181,70,113
1732002124.6229703,71,109
1732002124.6230226,69,101
1732002124.6230686,70,97
1732002124.6231208,70,97
1732002124.6231732,76,107
1732002124.623225,80,126
1732002124.6232777,79,124
1732002124.6233292,77,121
1732002124.6233807,75,111
1732002124.6234338,74,127
1732002124.623486,72,154
1732002124.6235383,70,153
1732002124.6235905,69,144
1732002124.6236444,69,138
1732002124.6236944,69,129
1732002124.6237428,78,124
1732002124.6237905,78,134
1732002124.623839,75,148
1732002124.6238878,73,157
1732002124.6239374,78,159
1732002124.623985,77,141
1732002124.6240346,75,137
1732002124.6240828,78,125
1732002124.6241353,79,115
1732002124.6241832,79,116
1732002124.6242325,77,127
1732002124.624281,76,136
1732002124.6243289,76,131
1732002124.6243768,76,121
1732002124.6244252,76,131
1732002124.6244707,76,147
1732002124.6245155,74,154
1732002124.6245608,74,155
1732002124.6246061,79,149
1732002124.6246514,81,150
1732002124.624697,83,151
1732002124.624743,79,136
1732002124.6247883,77,125
1732002124.6248336,75,116
1732002124.6248791,74,168
1732002124.624925,76,164
1732002124.6249702,75,146
1732002124.6250155,73,131
1732002124.6250613,71,128
1732002124.6251225,71,139
1732002124.625169,69,140
1732002124.6252146,67,134
1732002124.62526,79,137
1732002124.6253052,87,126
1732002124.6253514,86,125
1732002124.6253977,84,126
1732002124.6254432,80,121
1732002124.6254888,81,179
1732002124.6255343,78,174
1732002124.6255798,76,159
1732002124.6256256,74,139
1732002124.625671,74,167
1732002124.6257172,73,212
1732002124.6257622,74,211
1732002124.6258073,74,186
1732002124.6258528,72,167
1732002124.6259031,70,223
1732002124.6259494,71,257
1732002124.625995,71,232
1732002124.6260402,70,202
1732002124.626086,77,186
1732002124.6261384,82,175
1732002124.6261847,80,160
