timestamp,emg_value_sensor1,emg_value_sensor2
1732002016.1453586,6,248
1732002016.1454337,130,248
1732002016.1455038,121,226
1732002016.1455722,115,215
1732002016.1456397,119,196
1732002016.1457093,119,284
1732002016.1457853,116,309
1732002016.1458535,111,278
1732002016.1459224,109,266
1732002016.1459908,109,252
1732002016.1460586,105,236
1732002016.146133,101,215
1732002016.14619,99,224
1732002016.146246,98,220
1732002016.1463013,97,214
1732002016.1463566,95,212
1732002016.1464124,93,190
1732002016.146468,96,271
1732002016.1465232,96,243
1732002016.1465795,90,249
1732002016.1466372,92,298
1732002016.1466932,89,270
1732002016.1467493,86,247
1732002016.1468046,92,223
1732002016.1468601,96,199
1732002016.146917,93,178
1732002016.1469727,87,195
1732002016.1470265,84,206
1732002016.1470778,81,191
1732002016.1471343,82,184
1732002016.1471853,81,227
1732002016.147237,79,235
1732002016.147289,79,208
1732002016.1473415,81,197
1732002016.1473935,77,199
1732002016.147445,83,227
1732002016.1474972,85,223
1732002016.14755,82,198
1732002016.1476018,86,234
1732002016.1476536,86,228
1732002016.147705,85,206
1732002016.1477568,83,242
1732002016.1478083,81,269
1732002016.1478596,78,240
1732002016.1479108,78,210
1732002016.1479626,80,200
1732002016.1480155,77,194
1732002016.1480649,75,186
1732002016.1481166,77,221
1732002016.1481643,76,208
1732002016.148218,75,210
1732002016.1482663,73,216
1732002016.1483147,75,225
1732002016.1483624,76,228
1732002016.1484103,75,248
1732002016.1484585,75,229
1732002016.1485069,74,213
1732002016.1485558,73,192
1732002016.1486042,72,175
1732002016.1486526,76,159
1732002016.148702,75,162
1732002016.1487496,72,252
1732002016.148798,74,238
1732002016.1488457,75,220
1732002016.1488938,73,207
1732002016.148943,70,208
1732002016.1489904,69,194
1732002016.1490386,68,176
1732002016.1490872,78,264
1732002016.1491385,80,293
1732002016.149185,82,299
1732002016.1492298,80,281
1732002016.1492748,79,257
1732002016.1493206,81,286
1732002016.149366,83,295
1732002016.1494107,84,277
1732002016.149457,81,244
1732002016.1495068,77,224
1732002016.1495514,77,305
1732002016.149596,77,287
1732002016.1496406,75,254
1732002016.1496856,74,237
1732002016.1497312,75,270
1732002016.1497762,75,293
1732002016.1498222,74,286
1732002016.1498682,73,263
1732002016.149914,74,234
1732002016.1499596,74,212
1732002016.1500025,72,239
1732002016.1500454,72,231
1732002016.150089,72,211
1732002016.1501355,71,192
1732002016.1501791,70,227
1732002016.1502228,69,296
1732002016.1502657,69,264
1732002016.1503084,66,243
1732002016.1503513,65,217
1732002016.1503973,70,196
1732002016.150441,74,181
1732002016.1504834,72,203
1732002016.1505263,69,234
1732002016.1505687,76,243
1732002016.1506119,78,225
1732002016.200565,76,225
1732002016.2007163,74,237
1732002016.2008512,74,242
1732002016.2009752,71,241
1732002016.2010996,69,253
1732002016.201262,67,221
1732002016.201389,65,198
1732002016.2015107,73,184
1732002016.2016346,74,224
1732002016.201756,74,248
1732002016.201878,71,251
1732002016.2019854,69,227
1732002016.2020915,68,209
1732002016.2022088,66,185
1732002016.2023141,63,166
1732002016.350694,70,155
1732002016.3508034,77,158
1732002016.3508995,74,169
1732002016.350994,71,182
1732002016.351089,69,218
1732002016.3512263,68,221
1732002016.3513203,66,199
1732002016.3514123,64,179
1732002016.3515034,71,168
1732002016.3515952,78,198
1732002016.3516862,79,199
1732002016.3517811,76,194
1732002016.3518724,73,205
1732002016.3519597,72,208
1732002016.352043,71,191
1732002016.5010462,72,176
1732002016.5011795,72,160
1732002016.5012484,70,145
1732002016.5013194,69,142
1732002016.5013807,67,180
1732002016.5014415,68,209
1732002016.5015025,71,206
1732002016.5015635,70,203
1732002016.5016255,74,233
1732002016.5016868,79,218
1732002016.501748,79,198
1732002016.501809,90,185
1732002016.5018723,90,195
1732002016.5019326,86,189
1732002016.5019946,82,226
1732002016.6513996,79,204
1732002016.6514914,75,193
1732002016.6515667,73,214
1732002016.6516426,70,190
1732002016.6517243,72,236
1732002016.6517982,71,250
1732002016.6518734,69,233
1732002016.651948,67,228
1732002016.6520212,72,282
1732002016.6520875,73,308
1732002016.6521788,73,277
1732002016.6522455,74,243
1732002016.652314,71,215
1732002016.6523838,69,202
1732002016.6524532,70,237
1732002016.8013992,69,250
1732002016.8014927,66,222
1732002016.8015714,63,200
1732002016.801649,63,179
1732002016.8017268,65,208
1732002016.8018017,71,193
1732002016.8018782,68,187
1732002016.8019528,70,195
1732002016.8020287,69,250
1732002016.8021033,72,246
1732002016.8022177,75,229
1732002016.8022926,71,216
1732002016.802367,68,195
1732002016.802442,67,197
1732002016.8025167,66,296
1732002016.9515746,64,269
1732002016.9516659,63,272
1732002016.9517431,63,300
1732002016.9518185,64,281
1732002016.9518948,69,260
1732002016.9519744,69,243
1732002016.9520485,67,273
1732002016.952157,65,252
1732002016.952231,65,241
1732002016.9523046,64,219
1732002016.952379,64,200
1732002016.9524524,75,202
1732002016.9525251,76,230
1732002016.9525979,73,225
1732002016.952672,73,236
1732002017.1017427,73,235
1732002017.1018295,71,214
1732002017.1019037,71,190
1732002017.1019773,70,173
1732002017.1020527,73,160
1732002017.102154,76,149
1732002017.1022296,74,143
1732002017.102304,70,138
1732002017.1023848,70,147
1732002017.1024585,68,151
1732002017.1025314,66,163
1732002017.1026037,65,157
1732002017.1026785,64,168
1732002017.1027555,65,176
1732002017.102829,74,174
1732002017.251979,74,161
1732002017.252042,72,144
1732002017.252096,69,147
1732002017.2521749,68,142
1732002017.2522278,67,140
1732002017.2522864,66,166
1732002017.2523394,64,150
1732002017.252391,69,205
1732002017.2524436,73,235
1732002017.2524958,72,236
1732002017.2525485,71,210
1732002017.252602,69,183
1732002017.2526546,67,169
1732002017.2527068,70,191
1732002017.2527595,73,256
1732002017.4023275,73,261
1732002017.402454,72,229
1732002017.402554,69,201
1732002017.4026544,67,190
1732002017.4027464,67,174
1732002017.4028373,66,188
1732002017.4029305,65,176
1732002017.4030209,63,169
1732002017.4031162,62,174
1732002017.4031985,60,156
1732002017.4032824,61,143
1732002017.4033632,65,206
1732002017.403444,65,201
1732002017.4035249,64,196
1732002017.4036055,64,177
1732002017.552631,66,159
1732002017.5527127,66,185
1732002017.5527833,64,165
1732002017.5528538,63,149
1732002017.5529227,69,167
1732002017.5529902,69,210
1732002017.5530572,67,195
1732002017.5531857,64,186
1732002017.553261,74,194
1732002017.5533295,79,195
1732002017.553396,76,176
1732002017.5534651,73,174
1732002017.5535314,70,173
1732002017.5535984,67,161
1732002017.553675,65,145
1732002017.70276,62,148
1732002017.7028615,61,141
1732002017.7029488,60,141
1732002017.7030323,61,157
1732002017.7031596,62,147
1732002017.703242,65,157
1732002017.7033195,67,201
1732002017.7033956,65,184
1732002017.703471,63,176
1732002017.7035463,62,169
1732002017.7036219,64,178
1732002017.703697,64,173
1732002017.7037733,69,158
1732002017.703848,81,144
1732002017.7039232,79,130
1732002017.8528843,75,116
1732002017.8529859,73,157
1732002017.853069,70,188
1732002017.8531957,67,175
1732002017.85328,67,165
1732002017.8533664,68,156
1732002017.853449,65,165
1732002017.8535316,66,161
1732002017.8536165,75,165
1732002017.853703,75,161
1732002017.8538082,72,172
1732002017.8539321,69,155
1732002017.8540263,68,138
1732002017.8541,68,135
1732002017.854186,67,130
1732002018.0030527,65,129
1732002018.0032282,64,146
1732002018.0033443,62,135
1732002018.0034494,62,135
1732002018.0035572,62,148
1732002018.0036619,63,164
1732002018.0037873,64,186
1732002018.0039465,68,165
1732002018.0040743,67,151
1732002018.004211,64,133
1732002018.004316,64,118
1732002018.0044224,67,118
1732002018.0045283,67,115
1732002018.0046332,65,130
1732002018.0047383,66,164
1732002018.1533818,65,165
