timestamp,emg_value_sensor1,emg_value_sensor2
1732002313.294484,73,107
1732002313.2945745,75,110
1732002313.2946591,72,103
1732002313.2947423,73,100
1732002313.2948356,75,107
1732002313.2949271,72,115
1732002313.2950208,71,111
1732002313.2951324,70,125
1732002313.2952244,69,116
1732002313.2953184,68,112
1732002313.2954113,69,122
1732002313.2955036,74,123
1732002313.2955973,71,118
1732002313.295689,71,113
1732002313.2957802,70,105
1732002313.2958715,68,102
1732002313.2959628,67,108
1732002313.2960522,66,118
1732002313.2961488,63,114
1732002313.2962317,63,108
1732002313.296313,66,108
1732002313.2963958,65,107
1732002313.2964768,65,113
1732002313.29656,64,110
1732002313.2966423,62,112
1732002313.2967253,62,105
1732002313.2968068,62,114
1732002313.296889,61,112
1732002313.296971,60,113
1732002313.2970533,60,107
1732002313.2971387,60,98
1732002313.2972043,60,93
1732002313.2972782,62,110
1732002313.2973528,64,101
1732002313.297419,63,98
1732002313.2974954,62,106
1732002313.2975695,64,110
1732002313.297635,66,99
1732002313.2977035,64,89
1732002313.297774,63,95
1732002313.29785,62,117
1732002313.2979245,60,108
1732002313.2979965,60,119
1732002313.2980642,60,121
1732002313.298143,60,122
1732002313.2982109,61,127
1732002313.2982788,62,145
1732002313.298347,61,131
1732002313.2984169,59,121
1732002313.298485,61,115
1732002313.298553,60,113
1732002313.298622,59,102
1732002313.298681,58,99
1732002313.2987497,58,115
1732002313.2988245,57,105
1732002313.2989008,57,108
1732002313.298979,58,112
1732002313.299055,61,110
1732002313.2991424,59,106
1732002313.2992094,63,98
1732002313.2992775,62,97
1732002313.299344,61,96
1732002313.2994106,59,98
1732002313.2994778,59,96
1732002313.299554,59,112
1732002313.2996314,57,106
1732002313.2997084,61,109
1732002313.2997825,61,107
1732002313.2998538,61,101
1732002313.299913,62,90
1732002313.299971,61,87
1732002313.30003,61,85
1732002313.3000903,60,83
1732002313.3001587,61,75
1732002313.3002186,62,82
1732002313.3002906,62,102
1732002313.30036,62,100
1732002313.3004267,62,97
1732002313.3004894,65,98
1732002313.3005493,63,92
1732002313.3006098,62,84
1732002313.3006692,62,92
1732002313.3007374,63,101
1732002313.3008056,62,100
1732002313.3008747,62,123
1732002313.3009427,61,115
1732002313.3010106,63,107
1732002313.3010783,62,118
1732002313.3011541,61,118
1732002313.3012235,61,117
1732002313.3012936,59,111
1732002313.301364,59,103
1732002313.301433,57,106
1732002313.3015058,57,105
1732002313.3015776,60,109
1732002313.3016462,61,101
1732002313.3017147,59,103
1732002313.3017848,61,101
1732002313.3018541,62,103
1732002313.3019147,62,94
1732002313.3019745,61,92
1732002313.3020346,60,92
1732002313.302095,62,87
1732002313.3021646,63,86
1732002313.3022242,62,90
1732002313.3022845,60,91
1732002313.302353,61,114
1732002313.3024216,59,109
1732002313.302493,62,101
1732002313.302559,64,98
1732002313.3113387,63,104
1732002313.3113997,62,98
1732002313.321486,61,93
1732002313.3316345,61,97
1732002313.3416996,60,96
1732002313.3516629,59,94
1732002313.3614666,61,96
1732002313.3716278,61,91
1732002313.391575,61,101
1732002313.3916752,61,97
1732002313.401538,65,95
1732002313.411553,66,92
1732002313.5614295,65,111
1732002313.5615127,63,106
1732002313.561587,63,124
1732002313.5616617,61,119
1732002313.5617542,62,107
1732002313.561836,62,122
1732002313.5619185,62,122
1732002313.5620039,62,108
1732002313.562086,60,102
1732002313.5621815,62,109
1732002313.5622635,67,109
1732002313.562346,65,107
1732002313.56248,66,124
1732002313.5625675,67,122
1732002313.5626495,64,120
1732002313.6519687,62,119
1732002313.6520367,63,114
1732002313.6520984,63,118
1732002313.652176,63,104
1732002313.6522367,63,117
1732002313.6522977,62,115
1732002313.652359,60,107
1732002313.6524198,66,106
1732002313.6524744,67,97
