timestamp,emg_value_sensor1,emg_value_sensor2
1732000931.4508445,98,58
1732000931.4607081,96,55
1732000931.4707334,98,60
1732000931.4806557,99,60
1732000931.5610592,100,61
1732000931.5611825,102,64
1732000931.561278,101,59
1732000931.5613718,102,53
1732000931.5614674,101,54
1732000931.5615613,100,59
1732000931.561664,100,58
1732000931.5617487,98,56
1732000931.5709736,98,57
1732000931.581026,98,59
1732000931.681178,100,65
1732000931.6812363,101,62
1732000931.6812944,100,59
1732000931.6813529,102,56
1732000931.6814115,100,56
1732000931.6814702,101,64
1732000931.6815286,100,61
1732000931.681587,102,56
1732000931.6816444,101,55
1732000931.6816964,99,54
1732000931.791616,100,55
1732000931.7916899,101,53
1732000931.7917602,101,51
1732000931.7918284,101,47
1732000931.7919037,102,45
1732000931.7919757,101,57
1732000931.7920456,101,61
1732000931.7921402,100,62
1732000931.7922099,100,63
1732000931.792279,102,61
1732000931.7923403,99,60
1732000931.8014438,99,64
1732000931.8114529,98,62
1732000931.821355,98,62
1732000931.8315544,98,63
1732000931.841459,98,59
1732000931.851284,96,64
1732000931.861442,97,67
1732000931.8714848,96,65
1732000931.8814585,97,64
1732000931.8914723,97,61
1732000931.901462,96,55
1732000931.9114022,95,70
1732000931.921459,95,78
1732000931.9314651,95,71
1732000931.9415042,95,67
1732000931.9515867,94,63
1732000931.9615533,94,68
1732000931.9716,94,71
1732000931.9815845,98,65
1732000931.991417,98,63
1732000932.001645,98,64
1732000932.0116494,97,61
1732000932.0216165,96,59
1732000932.031723,83,66
1732000932.04158,78,65
1732000932.051572,81,64
1732000932.061626,82,66
1732000932.0716648,83,64
1732000932.0816448,82,64
1732000932.0916634,82,61
1732000932.1017294,81,59
1732000932.1116402,79,67
1732000932.1216793,77,65
1732000932.131929,80,65
1732000932.1417334,80,67
1732000932.1517518,80,64
1732000932.1617692,79,80
1732000932.1720357,78,75
1732000932.1820107,77,68
1732000932.191866,77,64
1732000932.2019725,77,62
1732000932.2118464,76,59
1732000932.2218413,75,61
1732000932.2319572,73,60
1732000932.241925,73,61
1732000932.2518902,72,61
1732000932.2618098,73,63
1732000932.2720082,72,64
1732000932.2821014,71,61
1732000932.2921677,71,58
1732000932.3020813,71,56
1732000932.3121424,71,59
1732000932.3220937,71,68
1732000932.3323114,72,62
1732000932.3421679,70,66
1732000932.3520875,72,68
1732000932.3623,71,65
1732000932.3721704,71,71
1732000932.3820426,72,66
1732000932.3920283,72,61
1732000932.4021842,73,58
1732000932.4123173,72,57
1732000932.4222095,71,58
1732000932.4325747,72,57
1732000932.4423718,71,54
1732000932.4522772,72,53
1732000932.462249,73,50
1732000932.4723601,72,52
1732000932.4823437,72,53
1732000932.4922528,72,57
1732000932.502303,72,57
1732000932.5122864,70,59
1732000932.5222006,70,61
1732000932.5323179,67,57
1732000932.5423775,67,60
1732000932.5524359,67,59
1732000932.5622492,66,56
1732000932.5724132,64,60
